開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
オリジナル,,関係法令,120,作業内容を変更したときには、必要な安全衛生教育を行う。,健康診断は、労働者の希望があっても法令上すべて禁止される。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,2,関係法令(有害業務に係るもの以外のもの)における健康診断に関する次の記述のうち、不適切なものはどれか。,健康診断は労働者の健康確保のために実施されます。 したがって、誤っているものは2です。
オリジナル,,関係法令,121,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,長時間労働者には、健康確保措置を一切講じてはならない。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,1,関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、正しいものはどれか。,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、正しいものは1です。
オリジナル,,関係法令,122,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,雇入時には、健康診断を行うことが常に禁止されている。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,4,関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、誤っているものはどれか。,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、誤っているものは4です。
オリジナル,,関係法令,123,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,5,関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、適切なものはどれか。,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、正しいものは5です。
オリジナル,,関係法令,124,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,雇入時には、健康診断を行うことが常に禁止されている。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,3,関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、不適切なものはどれか。,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、誤っているものは3です。
オリジナル,,関係法令,125,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,衛生管理者は、職場巡視をしてはならない。,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,2,関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、正しいものはどれか。,定期健康診断は継続的な健康管理の基本です。 したがって、正しいものは2です。
オリジナル,,関係法令,126,作業内容を変更したときには、必要な安全衛生教育を行う。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,定期健康診断は、常時使用する労働者には一切実施してはならない。,5,関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、誤っているものはどれか。,定期健康診断は継続的な健康管理の基本です。 したがって、誤っているものは5です。
オリジナル,,関係法令,127,常時使用する労働者には、原則として定期健康診断を行う必要がある。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,事業者には、労働者の安全と健康に配慮する責務は全くない。,1,関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、適切なものはどれか。,定期健康診断は継続的な健康管理の基本です。 したがって、正しいものは1です。
オリジナル,,関係法令,128,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,定期健康診断は、常時使用する労働者には一切実施してはならない。,事業者は、健康診断の結果を労働者に通知する必要がある。,4,関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、不適切なものはどれか。,定期健康診断は継続的な健康管理の基本です。 したがって、誤っているものは4です。
オリジナル,,関係法令,129,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,3,関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、正しいものはどれか。,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、正しいものは3です。
オリジナル,,関係法令,130,長時間労働者には、健康確保措置を一切講じてはならない。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,1,関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、誤っているものはどれか。,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、誤っているものは1です。
オリジナル,,関係法令,131,衛生管理者は、職場巡視をしてはならない。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,2,関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、適切なものはどれか。,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、正しいものは2です。
オリジナル,,関係法令,132,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,長時間労働者には、健康確保措置を一切講じてはならない。,5,関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、不適切なものはどれか。,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、誤っているものは5です。
オリジナル,,関係法令,133,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,一定規模以上の事業場では、ストレスチェック制度の実施が求められる。,事業者には、労働者の安全と健康に配慮する責務は全くない。,4,関係法令(有害業務に係るもの以外のもの)におけるストレスチェックに関する次の記述のうち、正しいものはどれか。,ストレスチェックは心理的負担の程度を把握し、職場環境改善に活用します。 したがって、正しいものは4です。
オリジナル,,関係法令,134,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,一定の要件を満たす労働者には、年次有給休暇が付与される。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,事業者は、健康診断の結果を労働者に通知する必要がある。,2,関係法令(有害業務に係るもの以外のもの)におけるストレスチェックに関する次の記述のうち、誤っているものはどれか。,ストレスチェックは心理的負担の程度を把握し、職場環境改善に活用します。 したがって、誤っているものは2です。
オリジナル,,関係法令,135,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,一定規模以上の事業場では、ストレスチェック制度の実施が求められる。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,健康診断の結果は、労働者本人に一切知らせてはならない。,3,関係法令(有害業務に係るもの以外のもの)におけるストレスチェックに関する次の記述のうち、適切なものはどれか。,ストレスチェックは心理的負担の程度を把握し、職場環境改善に活用します。 したがって、正しいものは3です。
オリジナル,,関係法令,136,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,1,関係法令(有害業務に係るもの以外のもの)におけるストレスチェックに関する次の記述のうち、不適切なものはどれか。,ストレスチェックは心理的負担の程度を把握し、職場環境改善に活用します。 したがって、誤っているものは1です。
オリジナル,,関係法令,137,衛生管理者は、職場巡視をしてはならない。,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,5,関係法令(有害業務に係るもの以外のもの)における安全衛生教育に関する次の記述のうち、正しいものはどれか。,安全衛生教育は災害防止と健康確保の基本です。 したがって、正しいものは5です。
オリジナル,,関係法令,138,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,3,関係法令(有害業務に係るもの以外のもの)における安全衛生教育に関する次の記述のうち、誤っているものはどれか。,安全衛生教育は災害防止と健康確保の基本です。 したがって、誤っているものは3です。
オリジナル,,関係法令,139,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,事業者には、労働者の安全と健康に配慮する責務は全くない。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,4,関係法令(有害業務に係るもの以外のもの)における安全衛生教育に関する次の記述のうち、適切なものはどれか。,安全衛生教育は災害防止と健康確保の基本です。 したがって、正しいものは4です。
オリジナル,,関係法令,140,一定の要件を満たす労働者には、年次有給休暇が付与される。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,事業者は、健康診断の結果を労働者に通知する必要がある。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,2,関係法令(有害業務に係るもの以外のもの)における安全衛生教育に関する次の記述のうち、不適切なものはどれか。,安全衛生教育は災害防止と健康確保の基本です。 したがって、誤っているものは2です。
オリジナル,,関係法令,141,作業内容を変更したときには、必要な安全衛生教育を行う。,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,健康診断の結果は、労働者本人に一切知らせてはならない。,1,関係法令(有害業務に係るもの以外のもの)における作業内容変更時教育に関する次の記述のうち、正しいものはどれか。,作業内容変更時には、新しいリスクに応じた教育が必要です。 したがって、正しいものは1です。
オリジナル,,関係法令,142,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,作業内容を変更したときは、教育を行わないことが義務である。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,4,関係法令(有害業務に係るもの以外のもの)における作業内容変更時教育に関する次の記述のうち、誤っているものはどれか。,作業内容変更時には、新しいリスクに応じた教育が必要です。 したがって、誤っているものは4です。
オリジナル,,関係法令,143,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,作業内容を変更したときには、必要な安全衛生教育を行う。,5,関係法令(有害業務に係るもの以外のもの)における作業内容変更時教育に関する次の記述のうち、適切なものはどれか。,作業内容変更時には、新しいリスクに応じた教育が必要です。 したがって、正しいものは5です。
オリジナル,,関係法令,144,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,作業内容を変更したときは、教育を行わないことが義務である。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,3,関係法令(有害業務に係るもの以外のもの)における作業内容変更時教育に関する次の記述のうち、不適切なものはどれか。,作業内容変更時には、新しいリスクに応じた教育が必要です。 したがって、誤っているものは3です。
オリジナル,,関係法令,145,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,事業者には、労働者の安全と健康に配慮する責務は全くない。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,2,関係法令(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、正しいものはどれか。,衛生管理者の職務には職場巡視や衛生上の措置が含まれます。 したがって、正しいものは2です。
オリジナル,,関係法令,146,一定の要件を満たす労働者には、年次有給休暇が付与される。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,事業者は、健康診断の結果を労働者に通知する必要がある。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,衛生管理者は、職場巡視をしてはならない。,5,関係法令(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、誤っているものはどれか。,衛生管理者の職務には職場巡視や衛生上の措置が含まれます。 したがって、誤っているものは5です。
オリジナル,,関係法令,147,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,健康診断の結果は、労働者本人に一切知らせてはならない。,第一種衛生管理者免許では、有害業務を行う業種の衛生管理者には絶対になれない。,1,関係法令(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、適切なものはどれか。,衛生管理者の職務には職場巡視や衛生上の措置が含まれます。 したがって、正しいものは1です。
オリジナル,,関係法令,148,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,衛生管理者は、職場巡視をしてはならない。,一定規模以上の事業場では、産業医を選任する必要がある。,4,関係法令(有害業務に係るもの以外のもの)における職場巡視に関する次の記述のうち、不適切なものはどれか。,衛生管理者の職務には職場巡視や衛生上の措置が含まれます。 したがって、誤っているものは4です。
オリジナル,,関係法令,149,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,労働者は、安全衛生措置に協力してはならない。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,3,関係法令(有害業務に係るもの以外のもの)における労働時間に関する次の記述のうち、正しいものはどれか。,労働基準法は労働条件の最低基準を定めています。 したがって、正しいものは3です。
オリジナル,,関係法令,150,労働基準法には、労働時間や休憩に関する規制は存在しない。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,1,関係法令(有害業務に係るもの以外のもの)における労働時間に関する次の記述のうち、誤っているものはどれか。,労働基準法は労働条件の最低基準を定めています。 したがって、誤っているものは1です。
オリジナル,,関係法令,151,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,事業者には、労働者の安全と健康に配慮する責務は全くない。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,2,関係法令(有害業務に係るもの以外のもの)における労働時間に関する次の記述のうち、適切なものはどれか。,労働基準法は労働条件の最低基準を定めています。 したがって、正しいものは2です。
オリジナル,,関係法令,152,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,事業者は、健康診断の結果を労働者に通知する必要がある。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,労働基準法には、労働時間や休憩に関する規制は存在しない。,5,関係法令(有害業務に係るもの以外のもの)における労働時間に関する次の記述のうち、不適切なものはどれか。,労働基準法は労働条件の最低基準を定めています。 したがって、誤っているものは5です。
オリジナル,,関係法令,153,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,健康診断の結果は、労働者本人に一切知らせてはならない。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,第一種衛生管理者免許では、有害業務を行う業種の衛生管理者には絶対になれない。,4,関係法令(有害業務に係るもの以外のもの)における休憩に関する次の記述のうち、正しいものはどれか。,休憩は労働時間に応じて与える必要があります。 したがって、正しいものは4です。
オリジナル,,関係法令,154,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,一定規模以上の事業場では、産業医を選任する必要がある。,2,関係法令(有害業務に係るもの以外のもの)における休憩に関する次の記述のうち、誤っているものはどれか。,休憩は労働時間に応じて与える必要があります。 したがって、誤っているものは2です。
オリジナル,,関係法令,155,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,3,関係法令(有害業務に係るもの以外のもの)における休憩に関する次の記述のうち、適切なものはどれか。,休憩は労働時間に応じて与える必要があります。 したがって、正しいものは3です。
オリジナル,,関係法令,156,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,1,関係法令(有害業務に係るもの以外のもの)における休憩に関する次の記述のうち、不適切なものはどれか。,休憩は労働時間に応じて与える必要があります。 したがって、誤っているものは1です。
オリジナル,,関係法令,157,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,事業者には、労働者の安全と健康に配慮する責務は全くない。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,使用者は、法令に基づき労働者に休日を与える必要がある。,5,関係法令(有害業務に係るもの以外のもの)における休日に関する次の記述のうち、正しいものはどれか。,休日は労働者の健康保持のためにも重要な労働条件です。 したがって、正しいものは5です。
オリジナル,,関係法令,158,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,事業者は、健康診断の結果を労働者に通知する必要がある。,休日は、労働基準法上いかなる場合も与えてはならない。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,3,関係法令(有害業務に係るもの以外のもの)における休日に関する次の記述のうち、誤っているものはどれか。,休日は労働者の健康保持のためにも重要な労働条件です。 したがって、誤っているものは3です。
オリジナル,,関係法令,159,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,健康診断の結果は、労働者本人に一切知らせてはならない。,第一種衛生管理者免許では、有害業務を行う業種の衛生管理者には絶対になれない。,使用者は、法令に基づき労働者に休日を与える必要がある。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,4,関係法令(有害業務に係るもの以外のもの)における休日に関する次の記述のうち、適切なものはどれか。,休日は労働者の健康保持のためにも重要な労働条件です。 したがって、正しいものは4です。
オリジナル,,関係法令,160,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,休日は、労働基準法上いかなる場合も与えてはならない。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,一定規模以上の事業場では、産業医を選任する必要がある。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,2,関係法令(有害業務に係るもの以外のもの)における休日に関する次の記述のうち、不適切なものはどれか。,休日は労働者の健康保持のためにも重要な労働条件です。 したがって、誤っているものは2です。
オリジナル,,関係法令,161,一定の要件を満たす労働者には、年次有給休暇が付与される。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,1,関係法令(有害業務に係るもの以外のもの)における年次有給休暇に関する次の記述のうち、正しいものはどれか。,年次有給休暇は労働基準法に定められた休暇制度です。 したがって、正しいものは1です。
オリジナル,,関係法令,162,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,年次有給休暇は、労働者に一切付与してはならない制度である。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,4,関係法令(有害業務に係るもの以外のもの)における年次有給休暇に関する次の記述のうち、誤っているものはどれか。,年次有給休暇は労働基準法に定められた休暇制度です。 したがって、誤っているものは4です。
オリジナル,,関係法令,163,事業者には、労働者の安全と健康に配慮する責務は全くない。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,総括安全衛生管理者は、衛生管理者の職務を妨害するためだけに選任される。,一定の要件を満たす労働者には、年次有給休暇が付与される。,5,関係法令(有害業務に係るもの以外のもの)における年次有給休暇に関する次の記述のうち、適切なものはどれか。,年次有給休暇は労働基準法に定められた休暇制度です。 したがって、正しいものは5です。
オリジナル,,関係法令,164,事業者は、健康診断の結果を労働者に通知する必要がある。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,年次有給休暇は、労働者に一切付与してはならない制度である。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,3,関係法令(有害業務に係るもの以外のもの)における年次有給休暇に関する次の記述のうち、不適切なものはどれか。,年次有給休暇は労働基準法に定められた休暇制度です。 したがって、誤っているものは3です。
オリジナル,,関係法令,165,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,健康診断の結果は、労働者本人に一切知らせてはならない。,第一種衛生管理者免許では、有害業務を行う業種の衛生管理者には絶対になれない。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,2,関係法令(有害業務に係るもの以外のもの)における妊産婦に関する次の記述のうち、正しいものはどれか。,妊産婦には母性保護のための規定があります。 したがって、正しいものは2です。
オリジナル,,関係法令,166,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,健康診断個人票などの記録は、法令に基づき保存する必要がある。,一定規模以上の事業場では、産業医を選任する必要がある。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,5,関係法令(有害業務に係るもの以外のもの)における妊産婦に関する次の記述のうち、誤っているものはどれか。,妊産婦には母性保護のための規定があります。 したがって、誤っているものは5です。
オリジナル,,関係法令,167,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,労働者は、安全衛生措置に協力してはならない。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,健康診断は、労働者の希望があっても法令上すべて禁止される。,1,関係法令(有害業務に係るもの以外のもの)における妊産婦に関する次の記述のうち、適切なものはどれか。,妊産婦には母性保護のための規定があります。 したがって、正しいものは1です。
オリジナル,,関係法令,168,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,4,関係法令(有害業務に係るもの以外のもの)における妊産婦に関する次の記述のうち、不適切なものはどれか。,妊産婦には母性保護のための規定があります。 したがって、誤っているものは4です。
オリジナル,,関係法令,169,事業者には、労働者の安全と健康に配慮する責務は全くない。,異常所見がある場合でも、医師等の意見を聴くことは常に禁止される。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,総括安全衛生管理者は、衛生管理者の職務を妨害するためだけに選任される。,3,関係法令(有害業務に係るもの以外のもの)における就業規則に関する次の記述のうち、正しいものはどれか。,就業規則は労働条件や服務規律を明確にする重要な文書です。 したがって、正しいものは3です。
オリジナル,,関係法令,170,就業規則は、労働者数にかかわらず作成が常に禁止される。,事業者は、健康診断の結果を労働者に通知する必要がある。,第一種衛生管理者免許は、有害業務を含む幅広い業種で衛生管理者となる資格である。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,1,関係法令(有害業務に係るもの以外のもの)における就業規則に関する次の記述のうち、誤っているものはどれか。,就業規則は労働条件や服務規律を明確にする重要な文書です。 したがって、誤っているものは1です。
オリジナル,,関係法令,171,健康診断の結果は、労働者本人に一切知らせてはならない。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,第一種衛生管理者免許では、有害業務を行う業種の衛生管理者には絶対になれない。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,雇入時には、健康診断を行うことが常に禁止されている。,2,関係法令(有害業務に係るもの以外のもの)における就業規則に関する次の記述のうち、適切なものはどれか。,就業規則は労働条件や服務規律を明確にする重要な文書です。 したがって、正しいものは2です。
オリジナル,,関係法令,172,健康診断個人票などの記録は、法令に基づき保存する必要がある。,一定規模以上の事業場では、産業医を選任する必要がある。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,就業規則は、労働者数にかかわらず作成が常に禁止される。,5,関係法令(有害業務に係るもの以外のもの)における就業規則に関する次の記述のうち、不適切なものはどれか。,就業規則は労働条件や服務規律を明確にする重要な文書です。 したがって、誤っているものは5です。
オリジナル,,関係法令,173,労働者は、安全衛生措置に協力してはならない。,健康診断の記録は、作成直後に必ず廃棄しなければならない。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,健康診断は、労働者の希望があっても法令上すべて禁止される。,4,関係法令(有害業務に係るもの以外のもの)における衛生管理体制に関する次の記述のうち、正しいものはどれか。,衛生管理者、産業医、委員会などにより衛生管理体制を整えます。 したがって、正しいものは4です。
オリジナル,,関係法令,174,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,2,関係法令(有害業務に係るもの以外のもの)における衛生管理体制に関する次の記述のうち、誤っているものはどれか。,衛生管理者、産業医、委員会などにより衛生管理体制を整えます。 したがって、誤っているものは2です。
