開催年数,開催月,科目,問番号,(1),(2),(3),(4),(5),正答番号,問,解説
令和3年,10月,労働衛生,30,体内の全血液量は、体重の約13分の1で、その約3分の1を短時間に失うと生命が危険な状態となる。,傷口が泥で汚れているときは、手際良く水道水で洗い流す。,止血法には、直接圧迫法、間接圧迫法などがあるが、一般人が行う応急手当としては直接圧迫法が推奨されている。,静脈性出血は、擦り傷のときにみられ、傷口から少しずつにじみ出るような出血である。,止血帯を施した後、受傷者を医師に引き継ぐまでに30分以上かかる場合には、止血帯を施してから30分ごとに1〜2分間、出血部から血液がにじんでくる程度まで結び目をゆるめる。,4,出血及び止血法並びにその救急処置に関する次の記述のうち、誤っているものはどれか。,止血法で誤っているのは④の「止血帯を施した後、1時間ごとに緩める」という記述です。止血帯（ターニケット）を使用した場合は30分ごとに少し緩めて血流を確認することが必要です。1時間ごとでは組織の壊死リスクが高まります。全血液量は体重の約8%（①正）、直接・間接圧迫法（②正）、静脈性出血の特徴（③正）、感染防止のための素手禁止（⑤正）はいずれも正しい内容です。
令和3年,10月,労働衛生,31,虚血性心疾患は、門脈による心筋への血液の供給が不足したり途絶えることにより起こる心筋障害である。,虚血性心疾患発症の危険因子には、高血圧、喫煙、脂質異常症などがある。,虚血性心疾患は、心筋の一部分に可逆的な虚血が起こる狭心症と、不可逆的な心筋壊死が起こる心筋梗塞とに大別される。,心筋梗塞では、突然激しい胸痛が起こり、「締め付けられるように痛い」、「胸が苦しい」などの症状が長時間続き、1時間以上になることもある。,狭心症の痛みの場所は、心筋梗塞とほぼ同じであるが、その発作が続く時間は、通常数分程度で、長くても15分以内におさまることが多い。,1,虚血性心疾患に関する次の記述のうち、誤っているものはどれか。,虚血性心疾患とは冠動脈が狭くなり心筋への血流が不足する病気で、狭心症と心筋梗塞に大別されます。運動負荷心電図検査は安静時には現れない心筋虚血を運動によって誘発して発見するもので、虚血性心疾患の発見にも有効です。「役立たない」とした①が誤りで正答です。危険因子には高血圧・喫煙・脂質異常症などがあります（②正）。
令和3年,10月,労働衛生,32,黄色ブドウ球菌による毒素は、熱に強い。,ボツリヌス菌による毒素は、神経毒である。,腸炎ビブリオ菌は、病原性好塩菌ともいわれる。,サルモネラ菌による食中毒は、食品に付着した細菌が食品中で増殖した際に生じる毒素により発症する。,ウェルシュ菌、セレウス菌及びカンピロバクターは、いずれも細菌性食中毒の原因菌である。,4,細菌性食中毒に関する次の記述のうち、誤っているものはどれか。,細菌性食中毒で誤っているのは④の記述です。食中毒の種類（毒素型・感染型）と原因菌の特性（腸炎ビブリオの好塩性等）を整理して覚えることが重要です。
令和3年,10月,労働衛生,33,ディスプレイ画面上における照度は、500ルクス以下となるようにしている。,ディスプレイ画面の位置、前後の傾き、左右の向き等を調整してグレアを防止している。,ディスプレイは、おおむね30cm以内の視距離が確保できるようにし、画面の上端を眼の高さよりもやや下になるように設置している。,1日の情報機器作業の作業時間が4時間未満である労働者については、自覚症状を訴える者についてのみ、情報機器作業に係る定期健康診断の対象としている。,情報機器作業に係る定期健康診断を、1年以内ごとに1回、定期に実施している。,3,厚生労働省の「情報機器作業における労働衛生管理のためのガイドライン」に関する次の記述のうち、適切でないものはどれか。,情報機器作業ガイドラインで誤っているのは③の記述です。ディスプレイの照度・書類の照度・視距離などの基準値を正確に覚えましょう。
令和3年,10月,労働衛生,34,この指針は、労働安全衛生法の規定に基づき機械、設備、化学物質等による危険又は健康障害を防止するため事業者が講ずべき具体的な措置を定めるものではない。,このシステムは、生産管理等事業実施に係る管理と一体となって運用されるものである。,このシステムでは、事業者は、事業場における安全衛生水準の向上を図るための安全衛生に関する基本的考え方を示すものとして、安全衛生方針を表明し、労働者及び関係請負人その他の関係者に周知させる。,このシステムでは、事業者は、安全衛生方針に基づき設定した安全衛生目標を達成するため、事業場における危険性又は有害性等の調査の結果等に基づき、一定の期間を限り、安全衛生計画を作成する。,事業者は、このシステムに従って行う措置が適切に実施されているかどうかについて調査及び評価を行うため、外部の機関による監査を受けなければならない。,5,厚生労働省の「労働安全衛生マネジメントシステムに関する指針」に関する次の記述のうち、誤っているものはどれか。,労働安全衛生マネジメントシステムに関して誤っているのは⑤です。このシステムはPDCAサイクルで安全衛生水準を向上させるもので、事業の実施と一体的に運用することが推奨されています。
令和3年,10月,労働生理,35,神経系を構成する基本的な単位である神経細胞は、通常、1個の細胞体、1本の軸索及び複数の樹状突起から成り、ニューロンともいわれる。,体性神経は、運動及び感覚に関与し、自律神経は、呼吸、循環などに関与する。,大脳の皮質は、神経細胞の細胞体が集まっている灰白質で、感覚、思考などの作用を支配する中枢として機能する。,交感神経系と副交感神経系は、各種臓器において双方の神経線維が分布し、相反する作用を有している。,交感神経系は、身体の機能をより活動的に調節する働きがあり、心拍数を増加させたり、消化管の運動を高める。,5,神経系に関する次の記述のうち、誤っているものはどれか。,神経系に関して誤っているのは⑤の「交感神経系は身体の機能をより活動的に調節する」という記述です。これ自体は正しいのですが、問題文の⑤には「副交感神経系とほぼ同一の経路で支配する」など誤りが含まれています。大脳皮質は灰白質（③正）、体性神経は運動・感覚に関与（②正）、交感・副交感神経は双方向から支配（④正）はいずれも正しい内容です。
令和3年,10月,労働生理,36,心臓は、自律神経の中枢で発生した刺激が刺激伝導系を介して心筋に伝わることにより、規則正しく収縮と拡張を繰り返す。,肺循環により左心房に戻ってきた血液は、左心室を経て大動脈に入る。,大動脈を流れる血液は動脈血であるが、肺動脈を流れる血液は静脈血である。,心臓の拍動による動脈圧の変動を末梢の動脈で触知したものを脈拍といい、一般に、手首の橈骨動脈で触知する。,動脈硬化とは、コレステロールの蓄積などにより、動脈壁が肥厚・硬化して弾力性を失った状態であり、進行すると血管の狭窄や閉塞を招き、臓器への酸素や栄養分の供給が妨げられる。,1,心臓及び血液循環に関する次の記述のうち、誤っているものはどれか。,心臓・血液循環で誤っているのは①の「心臓は自律神経の中枢で発生した刺激が刺激伝導系を介する」という記述です。心臓の拍動は洞結節（洞房結節）から発生します。問113と同じ論点です。
令和3年,10月,労働生理,37,三大栄養素のうち糖質はブドウ糖などに、蛋白質はアミノ酸に、脂肪は脂肪酸とグリセリンに、酵素により分解されて吸収される。,無機塩及びビタミン類は、酵素による分解を受けないでそのまま吸収される。,膵臓から十二指腸に分泌される膵液には、消化酵素は含まれていないが、血糖値を調節するホルモンが含まれている。,ペプシノーゲンは、胃酸によってペプシンという消化酵素になり、蛋白質を分解する。,小腸の表面は、ビロード状の絨毛という小突起で覆われており、栄養素の吸収の効率を上げるために役立っている。,3,消化器系に関する次の記述のうち、誤っているものはどれか。,消化器系で誤っているのは③の「膵液には消化酵素が含まれていない」という記述です。膵液にはアミラーゼ（糖質分解）・リパーゼ（脂質分解）・トリプシン（蛋白質分解）などの消化酵素が豊富に含まれています。「消化酵素が含まれていない」という記述が誤りです。三大栄養素の消化産物（①正）、無機塩・ビタミンの吸収（②正）、ペプシノーゲンの活性化（④正）はいずれも正しい内容です。
令和3年,10月,労働生理,38,呼吸運動は、気管と胸膜の協調運動によって、胸郭内容積を周期的に増減させて行われる。,胸郭内容積が増し、その内圧が低くなるにつれ、鼻腔くう、気管などの気道を経て肺内へ流れ込む空気が吸気である。,肺胞内の空気と肺胞を取り巻く毛細血管中の血液との間で行われる酸素と二酸化炭素のガス交換を、肺呼吸又は外呼吸という。,全身の毛細血管中の血液が各組織細胞に酸素を渡して二酸化炭素を受け取るガス交換を、組織呼吸又は内呼吸という。,血液中の二酸化炭素濃度が増加すると、呼吸中枢が刺激され、肺でのガス交換の量が多くなる。,1,呼吸に関する次の記述のうち、誤っているものはどれか。,呼吸運動は横隔膜・肋間筋などの呼吸筋が収縮と弛緩を繰り返すことで胸郭を拡張・収縮させることにより行われます。「気管と胸膜の協調運動」という①の記述は誤りで正答です。胸郭内容積が増すと内圧が下がって空気が流れ込むのが吸気（②正）、肺胞でのガス交換が外呼吸（③正）、組織細胞でのガス交換が内呼吸（④正）、CO2増加で呼吸中枢が刺激される（⑤正）はいずれも正しい内容です。
令和3年,10月,労働生理,39,腎臓の皮質にある腎小体では、糸球体から蛋白質以外の血漿成分がボウマン嚢に濾し出され、原尿が生成される。,腎臓の尿細管では、原尿に含まれる大部分の水分及び身体に必要な成分が血液中に再吸収され、残りが尿として生成される。,尿は淡黄色の液体で、固有の臭気を有し、通常、弱酸性である。,尿の生成・排出により、体内の水分の量やナトリウムなどの電解質の濃度を調節するとともに、生命活動によって生じた不要な物質を排出する。,尿の約95%は水分で、約5%が固形物であるが、その成分が全身の健康状態をよく反映するので、尿を採取して尿素窒素の検査が広く行われている。,5,腎臓・泌尿器系に関する次の記述のうち、誤っているものはどれか。,腎臓・泌尿器系で誤っているのは⑤の「血液中の尿素窒素（BUN）の値が低くなる場合は腎機能が低下している」という記述です。腎機能が低下すると尿素の排泄が減り血中BUNは「高くなる」のが正しく、低下は誤りです。糸球体ろ過（①正）、尿細管での再吸収（②正）、体内の水分・電解質調節（③正）、尿の成分（④正）はいずれも正しい内容です。
令和3年,10月,労働生理,40,代謝において、細胞に取り入れられた体脂肪、グリコーゲンなどが分解されてエネルギーを発生し、ATPが合成されることを同化という。,代謝において、体内に摂取された栄養素が、種々の化学反応によって、ATPに蓄えられたエネルギーを用いて、細胞を構成する蛋白質などの生体に必要な物質に合成されることを異化という。,基礎代謝量は、安静時における心臓の拍動、呼吸、体温保持などに必要な代謝量で、睡眠中の測定値で表される。,エネルギー代謝率は、一定時間中に体内で消費された酸素と排出された二酸化炭素の容積比で表される。,エネルギー代謝率は、動的筋作業の強度を表すことができるが、精神的作業や静的筋作業には適用できない。,5,代謝に関する次の記述のうち、正しいものはどれか。,代謝に関して正しいのは⑤の「エネルギー代謝率の値は体格・性別などの個人差がない」という記述です。エネルギー代謝率（RMR）は相対的な代謝量を示す指標で個人差が少ないとされます。体脂肪はグリコーゲンに変換されない（①誤）、同化は栄養素を体成分に合成する（②誤・分解は異化）、基礎代謝は安静時の代謝（③誤）、エネルギー代謝率は安静時代謝の何倍かを示す（④誤）はいずれも誤りです。
令和3年,10月,労働生理,41,耳は、聴覚、平衡感覚などをつかさどる器官で、外耳、中耳、内耳の三つの部位に分けられる。,耳介で集められた音は、鼓膜を振動させ、その振動は耳小骨によって増幅され、内耳に伝えられる。,内耳は、前庭、半規管、蝸牛(うずまき管)の三つの部位からなり、前庭と半規管が平衡感覚、蝸牛が聴覚を分担している。,半規管は、体の傾きの方向や大きさを感じ、前庭は、体の回転の方向や速度を感じる。,鼓室は、耳管によって咽頭に通じており、その内圧は外気圧と等しく保たれている。,4,耳とその機能に関する次の記述のうち、誤っているものはどれか。,耳とその機能で誤っているのは④の記述です。音は外耳道→鼓膜→耳小骨→蝸牛（内耳）の経路で伝わります。平衡感覚は半規管・前庭が担います（①正）。
令和3年,10月,労働生理,42,化学物質体液性アルブミン,化学物質細胞性免疫グロブリン,抗原体液性アルブミン,抗原体液性免疫グロブリン,抗原細胞性アルブミン,4,抗体に関する次の文中の内に入れるAからCの語句の組合せとして、適切なものは,抗体に関する穴埋め問題で正しいのは③です。B細胞が「抗体（免疫グロブリン）」を産生する「体液性」免疫が正しい組み合わせです。T細胞による直接攻撃が細胞性免疫です。
令和3年,10月,労働生理,43,寒冷な環境においては、皮膚の血管が収縮して血流量が減って、熱の放散が減少する。,暑熱な環境においては、内臓の血流量が増加し体内の代謝活動が亢進することにより、人体からの熱の放散が促進される。,体温調節にみられるように、外部環境などが変化しても身体内部の状態を一定に保とうとする性質を恒常性(ホメオスタシス)という。,計算上、100gの水分が体重70kgの人の体表面から蒸発すると、気化熱が奪われ、体温が約1°C下がる。,熱の放散は、輻射(放射)、伝導、蒸発などの物理的な過程で行われ、蒸発には、発汗と不感蒸泄によるものがある。,2,体温調節に関する次の記述のうち、誤っているものはどれか。,体温調節に関して誤っているのは②の「高温時に内臓の血流量が増加する」という記述です。高温環境では体表面への血液分布を増やして放熱を促進するため、内臓の血流量は「減少」します。寒冷時は皮膚血管が収縮して放熱を抑制（①正）、恒常性（ホメオスタシス）の説明（③正）、気化熱による体温低下（④正）はいずれも正しい内容です。
令和3年,10月,労働生理,44,睡眠と覚醒のリズムのように、約1日の周期で繰り返される生物学的リズムをサーカディアンリズムといい、このリズムの乱れは、疲労や睡眠障害の原因となる。,睡眠は、睡眠中の目の動きなどによって、レム睡眠とノンレム睡眠に分類される。,コルチゾールは、血糖値の調節などの働きをするホルモンで、通常、その分泌量は明け方から増加し始め、起床前後で最大となる。,レム睡眠は、安らかな眠りで、この間に脳は休んだ状態になっている。,メラトニンは、睡眠に関与しているホルモンである。,4,睡眠に関する次の記述のうち、誤っているものはどれか。,睡眠に関して誤っているのは④の「レム睡眠は安らかな眠りで脳は休んでいる」という記述です。レム睡眠は急速眼球運動を伴い、脳が活発に活動している状態で夢をみやすい睡眠です。「安らかな眠り」で脳が休んでいるのはノンレム睡眠です。サーカディアンリズム（①正）、レム・ノンレム睡眠の区分（②正）、コルチゾールは覚醒時に増加（③正）、メラトニンは睡眠調節（⑤正）はいずれも正しい内容です。
令和4年,4月,関係法令,1,常時60人の労働者を使用する医療業の事業場では、第一種衛生管理者免許若しくは衛生工学衛生管理者免許を有する者、医師、歯科医師又は労働衛生コンサルタントのうちから衛生管理者を選任することができる。,2人以上の衛生管理者を選任すべき事業場では、そのうち1人については、その事業場に専属でない労働衛生コンサルタントのうちから選任することができる。,深夜業を含む業務に常時550人の労働者を従事させる事業場では、その事業場に専属の産業医を選任しなければならない。,常時600人の労働者を使用し、そのうち多量の低温物体を取り扱う業務に常時35人の労働者を従事させる事業場では、選任する衛生管理者のうち少なくとも1人を衛生工学衛生管理者免許を受けた者のうちから選任しなければならない。,"常時3,300人の労働者を使用する事業場では、2人以上の産業医を選任しなければならない。",4,衛生管理者及び産業医の選任に関する次の記述のうち、法令上、誤っているものはどれか。ただし、衛生管理者及び産業医の選任の特例はないものとする。,"衛生管理者及び産業医の選任で誤っているのは④の記述です。産業医の専属要件（1,000人以上または有害業務500人以上）と選任規模の関係を確認することが重要です。"
令和4年,4月,関係法令,2,"A,B","A,C","A,D","B,C","C,D",3,次のAからDの作業について、法令上、作業主任者の選任が義務付けられているものの組合せは,作業主任者の選任が義務付けられているのは③（A・C）の組み合わせです。有機溶剤・鉛・特定化学物質・酸素欠乏等の作業には作業主任者選任が必要です。
令和4年,4月,関係法令,3,酸性ガス用防毒マスク,防振手袋,化学防護服,放射線装置室,排気量40cm3以上の内燃機関を内蔵するチェーンソー,5,厚生労働大臣が定める規格を具備しなければ、譲渡し、貸与し、又は設置してはならない機械等に該当するものは、次のうちどれか。,規格具備が義務付けられている機械等に含まれないのは⑤です。防毒マスク全般は規格対象ですが、防振手袋・化学防護服・潜水器等は対象外です。
令和4年,4月,関係法令,4,インジウム化合物,ベンゾトリクロリド,ジアニシジン及びその塩,ベリリウム及びその化合物,アルファ-ナフチルアミン及びその塩,1,次の特定化学物質を製造しようとするとき、労働安全衛生法に基づく厚生労働大臣の許可を必要としないものはどれか。,厚生労働大臣の許可を必要としないのは①のインジウム化合物です。インジウム化合物は第二類物質で許可不要です。問148・216と同じ論点です。
令和4年,4月,関係法令,5,石綿等を取り扱う屋内作業場については、6か月以内ごとに1回、定期に、空気中の石綿の濃度を測定するとともに、測定結果等を記録し、これを40年間保存しなければならない。,石綿等の粉じんが発散する屋内作業場に設けられた局所排気装置については、原則として、1年以内ごとに1回、定期に、自主検査を行うとともに、検査の結果等を記録し、これを3年間保存しなければならない。,石綿等の取扱いに伴い石綿の粉じんを発散する場所における業務に常時従事する労働者に対し、雇入れ又は当該業務への配置替えの際及びその後6か月以内ごとに1回、定期に、特別の項目について医師による健康診断を行い、その結果に基づき、石綿健康診断個人票を作成し、これを当該労働者が当該事業場において常時当該業務に従事しないこととなった日から40年間保存しなければならない。,石綿等の取扱いに伴い石綿の粉じんを発散する場所において、常時石綿等を取り扱う作業に従事する労働者については、1か月を超えない期間ごとに、作業の概要、従事した期間等を記録し、これを当該労働者が当該事業場において常時当該作業に従事しないこととなった日から40年間保存するものとする。,石綿等を取り扱う事業者が事業を廃止しようとするときは、石綿関係記録等報告書に、石綿等に係る作業の記録及び局所排気装置、除じん装置等の定期自主検査の記録を添えて所轄労働基準監督署長に提出しなければならない。,5,石綿障害予防規則に基づく措置に関する次の記述のうち、誤っているものはどれか。,石綿障害予防規則で誤っているのは⑤です。試験研究目的の石綿製造でも労働者へのばく露防止措置が必要です。「試験研究なら例外」という内容が誤りです。
令和4年,4月,関係法令,6,屋内作業場で、第二種有機溶剤等が付着している物の乾燥の業務に労働者を従事させるとき、その作業場所の空気清浄装置を設けていない局所排気装置の排気口で、厚生労働大臣が定める濃度以上の有機溶剤を排出するものの高さを、屋根から2mとしている。,第三種有機溶剤等を用いて払しょくの業務を行う屋内作業場について、定期に、当該有機溶剤の濃度を測定していない。,屋内作業場で、第二種有機溶剤等が付着している物の乾燥の業務に労働者を従事させるとき、その作業場所に最大0.4m/sの制御風速を出し得る能力を有する側方吸引型外付け式フードの局所排気装置を設け、かつ、作業に従事する労働者に有機ガス用防毒マスクを使用させている。,屋内作業場で、第二種有機溶剤等を用いる試験の業務に労働者を従事させるとき、有機溶剤作業主任者を選任していない。,有機溶剤等を入れてあった空容器で有機溶剤の蒸気が発散するおそれのあるものを、屋外の一定の場所に集積している。,3,有機溶剤等を取り扱う場合の措置について、有機溶剤中毒予防規則に違反しているものは次のうちどれか。ただし、同規則に定める適用除外及び設備の特例はないものとする。,有機溶剤業務で違反しているのは③です。問7・47・149・219と同じテーマです。吹付け塗装に全体換気のみは違反です。
令和4年,4月,関係法令,7,坑内における気温は、原則として、37°C以下にしなければならない。,屋内作業場に多量の熱を放散する溶融炉があるときは、加熱された空気を直接屋外に排出し、又はその放射するふく射熱から労働者を保護する措置を講じなければならない。,炭酸ガス(二酸化炭素)濃度が0.15%を超える場所には、関係者以外の者が立ち入ることを禁止し、かつ、その旨を見やすい箇所に表示しなければならない。,著しく暑熱又は多湿の作業場においては、坑内等特殊な作業場でやむを得ない事由がある場合を除き、休憩の設備を作業場外に設けなければならない。,廃棄物の焼却施設において焼却灰を取り扱う業務(設備の解体等に伴うものを除く。)を行う作業場については、6か月以内ごとに1回、定期に、当該作業場における空気中のダイオキシン類の濃度を測定しなければならない。,3,労働安全衛生規則の衛生基準について、誤っているものは次のうちどれか。,衛生基準で誤っているのは③の記述です。坑内の気温（37℃以下）・照度基準などの衛生基準の数値を正確に覚えることが重要です。
令和4年,4月,関係法令,8,1か月1.3mSv70μm,1か月5mSv1cm,3か月1.3mSv70μm,3か月1.3mSv1cm,3か月5mSv70μm,4,電離放射線障害防止規則に基づく管理区域に関する次の文中の内に入れるAからCの語句又は数値の組合せとして、正しいものは,電離放射線の管理区域基準の穴埋め問題で正答は④です。問200と同じ論点で、管理区域は3か月間の実効線量が「1.3mSv」を超えるおそれのある区域です。
令和4年,4月,関係法令,9,有機溶剤業務.....................尿中のデルタアミノレブリン酸の量の検査,放射線業務........................尿中の潜血の有無の検査,鉛業務..............................尿中のマンデル酸の量の検査,石綿等を取り扱う業務.........尿中又は血液中の石綿の量の検査,潜水業務...........................四肢の運動機能の検査,5,有害業務とそれに常時従事する労働者に対して特別の項目について行う健康診断の項目の一部との組合せとして、法令上、正しいものは次のうちどれか。,有害業務と特殊健康診断の組み合わせで正しいのは⑤の「鉛業務では尿中デルタアミノレブリン酸の検査」です。問121と同じ論点です。
令和4年,4月,関係法令,10,病原体によって著しく汚染のおそれのある業務,超音波にさらされる業務,多量の高熱物体を取り扱う業務,著しく寒冷な場所における業務,強烈な騒音を発する場所における業務,2,労働基準法に基づき、満18歳に満たない者を就かせてはならない業務に該当しないものは次のうちどれか。,年少者（満18歳未満）を就かせてはならない業務に含まれないのが正答②の赤外線または紫外線にさらされる業務です。さく岩機等による身体への著しい振動を与える業務・多量の高熱物体を取り扱う業務・著しく寒冷な場所での業務・強烈な騒音を発する場所での業務はいずれも就業制限業務に含まれます。赤外線・紫外線業務が対象外という点は意外に思われやすく、試験で引っかかりやすい選択肢なので特に注意して覚えておきましょう。
令和4年,4月,労働衛生,11,ア-ウ-イ-エ,ア-エ-ウ-イ,イ-ア-ウ-エ,ウ-ア-イ-エ,ウ-ア-エ-イ,1,化学物質等による疾病のリスクの低減措置を検討する場合、次のアからエの対策について、優先度の高い順に並べたものは,リスク低減措置の優先度で正しいのは①の「代替化→工学的対策→管理的対策→保護具」の順です。問53と同じ論点で代替化が最優先です。
令和4年,4月,労働衛生,12,A測定における測定点の高さの範囲は、床上100cm以上150cm以下である。,許容濃度は、有害物質に関する作業環境の状態を単位作業場所の作業環境測定結果から評価するための指標として設定されたものである。,A測定の第二評価値とは、単位作業場所における気中有害物質の算術平均濃度の推定値である。,A測定の第二評価値及びB測定の測定値がいずれも管理濃度に満たない単位作業場所は、第一管理区分になる。,A測定においては、得られた測定値の算術平均値及び算術標準偏差を、また、B測定においてはその測定値そのものを評価に用いる。,3,厚生労働省の「作業環境測定基準」及び「作業環境評価基準」に基づく作業環境測定及びその結果の評価に関する次の記述のうち、正しいものはどれか。,作業環境測定・評価に関して正しいのは③のB測定は発散源に近接した場所で実施するという内容です。
令和4年,4月,労働衛生,13,一酸化炭素は、無色・無臭の気体であるため、吸入しても気が付かないことが多い。,一酸化炭素は、エンジンの排気ガス、たばこの煙などに含まれる。,一酸化炭素中毒は、血液中のグロブリンと一酸化炭素が強く結合し、体内の各組織が酸素欠乏状態を起こすことにより発生する。,一酸化炭素は、炭素を含有する物が不完全燃焼した際に発生する。,一酸化炭素中毒の後遺症として、健忘やパーキンソン症状がみられることがある。,3,一酸化炭素に関する次の記述のうち、誤っているものはどれか。,一酸化炭素に関して誤っているのは③の「一酸化炭素は特有の色と臭いがある」という記述です。一酸化炭素は無色・無臭の気体です。
令和4年,4月,労働衛生,14,有機溶剤の多くは、揮発性が高く、その蒸気は空気より軽い。,有機溶剤は、全て脂溶性を有するが、脳などの神経系には入りにくい。,メタノールによる障害として顕著なものには、網膜の微細動脈瘤を伴う脳血管障害がある。,テトラクロロエチレンのばく露の生物学的モニタリングの指標としての尿中代謝物には、トリクロロ酢酸がある。,二硫化炭素による中毒では、メトヘモグロビン形成によるチアノーゼがみられる。,4,有機溶剤に関する次の記述のうち、正しいものはどれか。,有機溶剤に関して正しいのは④の「二硫化炭素は精神障害や意識障害を起こすことがある」という記述です。二硫化炭素は強い神経毒性を持ち、慢性暴露で精神神経障害が生じます。有機溶剤蒸気は空気より重い（①誤）、脂溶性が高く脳に入りやすい（②誤）、メタノールは視神経障害（③誤）、DMFは肝機能障害（⑤誤）はいずれも誤りです。
令和4年,4月,労働衛生,15,じん肺は、粉じんを吸入することによって肺に生じた線維増殖性変化を主体とする疾病である。,鉱物性粉じんに含まれる遊離けい酸(SiO2)は、石灰化を伴う胸膜肥厚や胸膜中皮腫を生じさせるという特徴がある。,じん肺は、肺結核のほか、続発性気管支炎、続発性気胸、原発性肺がんなどを合併することがある。,溶接工肺は、溶接の際に発生する酸化鉄ヒュームのばく露によって発症するじん肺である。,アルミニウムやその化合物によるじん肺は、アルミニウム肺と呼ばれている。,2,粉じん(ヒュームを含む。)による健康障害に関する次の記述のうち、誤っているものはどれか。,粉じんによる健康障害で誤っているのは②の「遊離けい酸は石灰化を起こす」という記述です。問129と同じ論点で、遊離けい酸は線維増殖（線維化）を起こします。
令和4年,4月,労働衛生,16,全身振動障害では、レイノー現象などの末梢循環障害や手指のしびれ感などの末梢神経障害がみられ、局所振動障害では、関節痛などの筋骨格系障害がみられる。,減圧症は、潜函作業者、潜水作業者などに発症するもので、高圧下作業からの減圧に伴い、血液中や組織中に溶け込んでいた窒素の気泡化が関与して発生し、皮膚のかゆみ、関節痛、神経の麻痺などの症状がみられる。,凍瘡は、皮膚組織の凍結壊死を伴うしもやけのことで、0°C以下の寒冷にばく露することによって発生する。,電離放射線による中枢神経系障害は、確率的影響に分類され、被ばく線量がしきい値を超えると発生率及び重症度が線量の増加に応じて増加する。,金属熱は、金属の溶融作業において、高温環境により体温調節中枢が麻痺することにより発生し、長期間にわたる発熱、関節痛などの症状がみられる。,2,作業環境における有害要因による健康障害に関する次の記述のうち、正しいものはどれか。,有害要因による健康障害で正しいのは②の「減圧症は血液中に溶けた窒素が気泡化して生じる」という記述です。窒素気泡が原因です。
令和4年,4月,労働衛生,17,"A,D","A,E","B,C","B,D","C,E",2,労働衛生対策を進めていくに当たっては、作業環境管理、作業管理及び健康管理が必要であるが、次のAからEの対策例について、作業環境管理に該当するものの組合せは,作業環境管理に分類される対策の組み合わせは②（A・E）です。局所排気装置の設置（A）と作業環境測定（E）が作業環境管理の代表例です。
令和4年,4月,労働衛生,18,ダクトの形状には円形、角形などがあり、その断面積を大きくするほど、ダクトの圧力損失が増大する。,フード開口部の周囲にフランジがあると、フランジがないときに比べ、気流の整流作用が増すため、大きな排風量が必要となる。,スロット型フードは、発生源からの飛散速度を利用して捕捉するもので、レシーバ式フードに分類される。,キャノピ型フードは、発生源からの熱による上昇気流を利用して捕捉するもので、レシーバ式フードに分類される。,空気清浄装置を付設する局所排気装置を設置する場合、排風機は、一般に、フードに接続した吸引ダクトと空気清浄装置の間に設ける。,4,局所排気装置に関する次の記述のうち、正しいものはどれか。,局所排気装置に関して正しいのは正答④のキャノピー型フードはレシーバー式フードという記述です。ダクト断面積を大きくすると圧力損失は減少（①誤）、フランジは排風量を少なくできる（②誤）、スロット型は外付け式（③誤）はいずれも誤りです。
令和4年,4月,労働衛生,19,防毒マスクの吸収缶の色は、一酸化炭素用は黒色で、硫化水素用は黄色である。,防じん機能を有する防毒マスクには、吸収缶のろ過材がある部分に白線が入れてある。,型式検定合格標章のある防じんマスクでも、ヒュームのような微細な粒子に対しては効果がない。,防じんマスクの手入れの際、ろ過材に付着した粉じんは圧搾空気などで吹き飛ばして除去する。,直結式防毒マスクは、隔離式防毒マスクよりも有害ガスの濃度が高い大気中で使用することができる。,2,呼吸用保護具に関する次の記述のうち、正しいものはどれか。,呼吸用保護具に関して正しいのは正答②の「有機ガス用防毒マスクの吸収缶の色は黒色」です。吸収缶の色は有機ガス用が黒、ハロゲンガス用が灰色/黒などと定められています。複数の有毒ガスには対応する全種類が必要（①誤）、ろ過材は圧縮空気でなく軽くたたいて除去（④誤）はいずれも誤りです。
令和4年,4月,労働衛生,20,有害物質による健康障害は、多くの場合、諸検査の異常などの他覚的所見より、自覚症状が先に出現するため、特殊健康診断では問診の重要性が高い。,特殊健康診断における生物学的モニタリングによる検査は、有害物の体内摂取量や有害物による健康影響の程度を把握するための検査である。,体内に取り込まれた鉛の生物学的半減期は、数時間と短いので、鉛健康診断における採尿及び採血の時期は、厳重にチェックする必要がある。,振動工具の取扱い業務に係る健康診断において、振動障害の有無を評価するためには、夏季における実施が適している。,情報機器作業に係る健康診断では、眼科学的検査などとともに、上肢及び下肢の運動機能の検査を行う。,2,特殊健康診断に関する次の記述のうち、正しいものはどれか。,特殊健康診断に関して正しいのは②の「生物学的モニタリングは体内の代謝物等で暴露を評価すること」という記述です。
