開催年数,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
オリジナル,381,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における管理濃度に関する次の記述のうち、正しいものはどれか。,作業環境測定結果の評価では、管理濃度が用いられる物質がある。,SDSは、労働者の身長だけを記録するための文書である。,有害業務では、特殊健康診断が法令上必要となることはない。,特定化学物質は、すべて食品添加物として無規制に扱える。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,1,管理濃度は作業環境測定結果を評価する基準として用いられます。 したがって、正しいものは1です。
オリジナル,382,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における管理濃度に関する次の記述のうち、誤っているものはどれか。,有害業務に関する測定や健康診断の記録は、法令に基づき保存が必要となる場合がある。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,管理濃度は、労働衛生管理には全く用いられない概念である。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,4,管理濃度は作業環境測定結果を評価する基準として用いられます。 したがって、誤っているものは4です。
オリジナル,383,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における管理濃度に関する次の記述のうち、適切なものはどれか。,有害業務の測定や健康診断の記録は、作成直後に必ず廃棄しなければならない。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,作業環境測定結果の評価では、管理濃度が用いられる物質がある。,5,管理濃度は作業環境測定結果を評価する基準として用いられます。 したがって、正しいものは5です。
オリジナル,384,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における管理濃度に関する次の記述のうち、不適切なものはどれか。,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,管理濃度は、労働衛生管理には全く用いられない概念である。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,3,管理濃度は作業環境測定結果を評価する基準として用いられます。 したがって、誤っているものは3です。
オリジナル,385,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における容器表示に関する次の記述のうち、正しいものはどれか。,化学物質管理では、危険有害性を把握しないことが最も重要である。,化学物質の容器等には、危険有害性に関する表示が求められる場合がある。,作業主任者は、有害作業では一切選任してはならない。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,2,化学物質管理では、表示や文書交付により危険有害性を伝達します。 したがって、正しいものは2です。
オリジナル,386,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における容器表示に関する次の記述のうち、誤っているものはどれか。,有害業務では、法令に基づき特殊健康診断の実施が義務付けられる場合がある。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,化学物質の容器には、危険有害性の表示をしてはならない。,5,化学物質管理では、表示や文書交付により危険有害性を伝達します。 したがって、誤っているものは5です。
オリジナル,387,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における容器表示に関する次の記述のうち、適切なものはどれか。,化学物質の容器等には、危険有害性に関する表示が求められる場合がある。,有害業務では、特殊健康診断が法令上必要となることはない。,特定化学物質は、すべて食品添加物として無規制に扱える。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,1,化学物質管理では、表示や文書交付により危険有害性を伝達します。 したがって、正しいものは1です。
オリジナル,388,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における容器表示に関する次の記述のうち、不適切なものはどれか。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,化学物質の容器には、危険有害性の表示をしてはならない。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,4,化学物質管理では、表示や文書交付により危険有害性を伝達します。 したがって、誤っているものは4です。
オリジナル,389,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるSDSに関する次の記述のうち、正しいものはどれか。,有害業務の測定や健康診断の記録は、作成直後に必ず廃棄しなければならない。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,SDSは、化学物質の危険有害性や取扱い上の注意を伝える文書である。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,3,SDSは安全データシートで、化学物質の情報伝達に用いられます。 したがって、正しいものは3です。
オリジナル,390,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるSDSに関する次の記述のうち、誤っているものはどれか。,SDSは、労働者の身長だけを記録するための文書である。,一定の有害作業では、作業主任者を選任し作業方法の決定等を行わせる必要がある。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,1,SDSは安全データシートで、化学物質の情報伝達に用いられます。 したがって、誤っているものは1です。
オリジナル,391,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるSDSに関する次の記述のうち、適切なものはどれか。,作業主任者は、有害作業では一切選任してはならない。,SDSは、化学物質の危険有害性や取扱い上の注意を伝える文書である。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,2,SDSは安全データシートで、化学物質の情報伝達に用いられます。 したがって、正しいものは2です。
オリジナル,392,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるSDSに関する次の記述のうち、不適切なものはどれか。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,SDSは、労働者の身長だけを記録するための文書である。,5,SDSは安全データシートで、化学物質の情報伝達に用いられます。 したがって、誤っているものは5です。
オリジナル,393,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるリスクアセスメントに関する次の記述のうち、正しいものはどれか。,有害業務では、特殊健康診断が法令上必要となることはない。,特定化学物質は、すべて食品添加物として無規制に扱える。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,化学物質管理では、危険有害性を把握しリスク低減措置を検討することが重要である。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,4,リスクアセスメントにより危険有害性とばく露を踏まえて対策を考えます。 したがって、正しいものは4です。
オリジナル,394,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるリスクアセスメントに関する次の記述のうち、誤っているものはどれか。,有機溶剤業務では、有機溶剤の区分や作業内容に応じた換気設備等が求められる。,化学物質管理では、危険有害性を把握しないことが最も重要である。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,2,リスクアセスメントにより危険有害性とばく露を踏まえて対策を考えます。 したがって、誤っているものは2です。
オリジナル,395,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるリスクアセスメントに関する次の記述のうち、適切なものはどれか。,有機溶剤業務では、換気設備や保護具に関する規制は存在しない。,粉じん作業では、粉じん発散を増やすことが法令上の目的である。,化学物質管理では、危険有害性を把握しリスク低減措置を検討することが重要である。,有害業務を行う屋内作業場では、作業環境測定が常に禁止されている。,有害業務では、労働者に注意事項を知らせる掲示を常に禁止する。,3,リスクアセスメントにより危険有害性とばく露を踏まえて対策を考えます。 したがって、正しいものは3です。
オリジナル,396,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)におけるリスクアセスメントに関する次の記述のうち、不適切なものはどれか。,化学物質管理では、危険有害性を把握しないことが最も重要である。,鉛業務では、作業環境管理、作業管理、健康診断などが法令で定められている。,酸素欠乏危険作業では、作業前の測定、換気、監視などが重要である。,有害物質のばく露防止では、作業内容に応じた呼吸用保護具を選定する必要がある。,一定の危険有害業務に労働者を就かせるときは、特別教育が必要となる場合がある。,1,リスクアセスメントにより危険有害性とばく露を踏まえて対策を考えます。 したがって、誤っているものは1です。
オリジナル,397,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における記録保存に関する次の記述のうち、正しいものはどれか。,作業主任者は、有害作業では一切選任してはならない。,鉛業務では、鉛の有害性を考慮した法令上の管理は不要である。,酸素欠乏危険作業では、酸素濃度を確認しないことが義務付けられている。,呼吸用保護具は、種類にかかわらず全て酸素欠乏場所で単独使用できる。,有害業務に関する測定や健康診断の記録は、法令に基づき保存が必要となる場合がある。,5,有害業務では、測定結果や健康診断結果の記録保存が定められています。 したがって、正しいものは5です。
オリジナル,398,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における記録保存に関する次の記述のうち、誤っているものはどれか。,特定化学物質を取り扱う作業では、物質の区分に応じたばく露防止措置が必要となる。,石綿等を取り扱う作業では、飛散防止やばく露防止の措置が重要である。,有害業務の測定や健康診断の記録は、作成直後に必ず廃棄しなければならない。,局所排気装置を設置した場合、性能を維持するための点検や管理が重要である。,保護具は、常時有効かつ清潔に保持するよう管理することが必要である。,3,有害業務では、測定結果や健康診断結果の記録保存が定められています。 したがって、誤っているものは3です。
オリジナル,399,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における記録保存に関する次の記述のうち、適切なものはどれか。,特定化学物質は、すべて食品添加物として無規制に扱える。,石綿等を取り扱う作業では、飛散防止措置を行ってはならない。,局所排気装置は、一度設置すれば点検や管理を一切行ってはならない。,有害業務に関する測定や健康診断の記録は、法令に基づき保存が必要となる場合がある。,保護具は、破損していても点検せずに使用させることが望ましい。,4,有害業務では、測定結果や健康診断結果の記録保存が定められています。 したがって、正しいものは4です。
オリジナル,400,関係法令(有害業務に係るもの),関係法令(有害業務に係るもの)における記録保存に関する次の記述のうち、不適切なものはどれか。,粉じん作業では、じん肺予防のため粉じん発散の抑制や呼吸用保護具の使用が重要である。,有害業務の測定や健康診断の記録は、作成直後に必ず廃棄しなければならない。,一定の有害業務を行う屋内作業場では、法令に基づく作業環境測定が必要となる場合がある。,有害業務では、作業場に有害性や注意事項等を掲示することが求められる場合がある。,妊産婦等については、有害業務への就業制限が定められている場合がある。,2,有害業務では、測定結果や健康診断結果の記録保存が定められています。 したがって、誤っているものは2です。
オリジナル,401,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生管理者に関する次の記述のうち、正しいものはどれか。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,雇入時には、健康診断を行うことが常に禁止されている。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,衛生管理者は、職場巡視をしてはならない。,1,労働者数等に応じ、衛生管理者の選任義務が定められています。 したがって、正しいものは1です。
オリジナル,402,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生管理者に関する次の記述のうち、誤っているものはどれか。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,作業内容を変更したときには、必要な安全衛生教育を行う。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,4,労働者数等に応じ、衛生管理者の選任義務が定められています。 したがって、誤っているものは4です。
オリジナル,403,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生管理者に関する次の記述のうち、適切なものはどれか。,健康診断は、労働者の希望があっても法令上すべて禁止される。,長時間労働者には、健康確保措置を一切講じてはならない。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,常時一定数以上の労働者を使用する事業場では、衛生管理者の選任が必要となる。,5,労働者数等に応じ、衛生管理者の選任義務が定められています。 したがって、正しいものは5です。
オリジナル,404,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生管理者に関する次の記述のうち、不適切なものはどれか。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,衛生管理者は、労働者数にかかわらず全ての事業場で選任してはならない。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,3,労働者数等に応じ、衛生管理者の選任義務が定められています。 したがって、誤っているものは3です。
オリジナル,405,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における産業医に関する次の記述のうち、正しいものはどれか。,総括安全衛生管理者は、衛生管理者の職務を妨害するためだけに選任される。,一定規模以上の事業場では、産業医を選任する必要がある。,定期健康診断は、常時使用する労働者には一切実施してはならない。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,2,産業医は労働者の健康管理等を行う専門職として選任されます。 したがって、正しいものは2です。
オリジナル,406,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における産業医に関する次の記述のうち、誤っているものはどれか。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,一定規模以上の事業場では、ストレスチェック制度の実施が求められる。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,5,産業医は労働者の健康管理等を行う専門職として選任されます。 したがって、誤っているものは5です。
オリジナル,407,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における産業医に関する次の記述のうち、適切なものはどれか。,一定規模以上の事業場では、産業医を選任する必要がある。,雇入時には、健康診断を行うことが常に禁止されている。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,衛生管理者は、職場巡視をしてはならない。,休日は、労働基準法上いかなる場合も与えてはならない。,1,産業医は労働者の健康管理等を行う専門職として選任されます。 したがって、正しいものは1です。
オリジナル,408,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における産業医に関する次の記述のうち、不適切なものはどれか。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,作業内容を変更したときには、必要な安全衛生教育を行う。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,産業医は、事業場の規模にかかわらず法令上選任が禁止されている。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,4,産業医は労働者の健康管理等を行う専門職として選任されます。 したがって、誤っているものは4です。
オリジナル,409,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生委員会に関する次の記述のうち、正しいものはどれか。,健康診断は、労働者の希望があっても法令上すべて禁止される。,長時間労働者には、健康確保措置を一切講じてはならない。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,3,衛生委員会は職場の労働衛生に関する事項を調査審議します。 したがって、正しいものは3です。
オリジナル,410,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生委員会に関する次の記述のうち、誤っているものはどれか。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,1,衛生委員会は職場の労働衛生に関する事項を調査審議します。 したがって、誤っているものは1です。
オリジナル,411,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生委員会に関する次の記述のうち、適切なものはどれか。,定期健康診断は、常時使用する労働者には一切実施してはならない。,一定規模以上の事業場では、衛生委員会を設ける必要がある。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,2,衛生委員会は職場の労働衛生に関する事項を調査審議します。 したがって、正しいものは2です。
オリジナル,412,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における衛生委員会に関する次の記述のうち、不適切なものはどれか。,一定規模以上の事業場では、ストレスチェック制度の実施が求められる。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,衛生委員会は、労働衛生に関する事項を調査審議してはならない。,5,衛生委員会は職場の労働衛生に関する事項を調査審議します。 したがって、誤っているものは5です。
オリジナル,413,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における総括安全衛生管理者に関する次の記述のうち、正しいものはどれか。,雇入時には、健康診断を行うことが常に禁止されている。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,衛生管理者は、職場巡視をしてはならない。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,休日は、労働基準法上いかなる場合も与えてはならない。,4,総括安全衛生管理者は安全衛生管理を統括管理する役割を担います。 したがって、正しいものは4です。
オリジナル,414,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における総括安全衛生管理者に関する次の記述のうち、誤っているものはどれか。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,総括安全衛生管理者は、衛生管理者の職務を妨害するためだけに選任される。,作業内容を変更したときには、必要な安全衛生教育を行う。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,2,総括安全衛生管理者は安全衛生管理を統括管理する役割を担います。 したがって、誤っているものは2です。
オリジナル,415,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における総括安全衛生管理者に関する次の記述のうち、適切なものはどれか。,長時間労働者には、健康確保措置を一切講じてはならない。,作業内容を変更したときは、教育を行わないことが義務である。,一定の業種・規模の事業場では、総括安全衛生管理者の選任が必要となる。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,3,総括安全衛生管理者は安全衛生管理を統括管理する役割を担います。 したがって、正しいものは3です。
オリジナル,416,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における総括安全衛生管理者に関する次の記述のうち、不適切なものはどれか。,総括安全衛生管理者は、衛生管理者の職務を妨害するためだけに選任される。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,1,総括安全衛生管理者は安全衛生管理を統括管理する役割を担います。 したがって、誤っているものは1です。
オリジナル,417,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における健康診断に関する次の記述のうち、正しいものはどれか。,定期健康診断は、常時使用する労働者には一切実施してはならない。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,5,健康診断は労働者の健康確保のために実施されます。 したがって、正しいものは5です。
オリジナル,418,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における健康診断に関する次の記述のうち、誤っているものはどれか。,一定規模以上の事業場では、ストレスチェック制度の実施が求められる。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,健康診断は、労働者の希望があっても法令上すべて禁止される。,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,3,健康診断は労働者の健康確保のために実施されます。 したがって、誤っているものは3です。
オリジナル,419,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における健康診断に関する次の記述のうち、適切なものはどれか。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,衛生管理者は、職場巡視をしてはならない。,休日は、労働基準法上いかなる場合も与えてはならない。,事業者は、労働者に対して法令に基づく健康診断を実施する必要がある。,就業規則は、労働者数にかかわらず作成が常に禁止される。,4,健康診断は労働者の健康確保のために実施されます。 したがって、正しいものは4です。
オリジナル,420,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における健康診断に関する次の記述のうち、不適切なものはどれか。,作業内容を変更したときには、必要な安全衛生教育を行う。,健康診断は、労働者の希望があっても法令上すべて禁止される。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,2,健康診断は労働者の健康確保のために実施されます。 したがって、誤っているものは2です。
オリジナル,421,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、正しいものはどれか。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,長時間労働者には、健康確保措置を一切講じてはならない。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,1,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、正しいものは1です。
オリジナル,422,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、誤っているものはどれか。,労働者を雇い入れたときなどには、安全衛生教育を行う必要がある。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,雇入時には、健康診断を行うことが常に禁止されている。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,4,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、誤っているものは4です。
オリジナル,423,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、適切なものはどれか。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,労働者を雇い入れる際には、原則として雇入時の健康診断が必要である。,5,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、正しいものは5です。
オリジナル,424,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における雇入時健康診断に関する次の記述のうち、不適切なものはどれか。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,雇入時には、健康診断を行うことが常に禁止されている。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,3,雇入時健康診断は、配置や健康管理の基礎情報として重要です。 したがって、誤っているものは3です。
オリジナル,425,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、正しいものはどれか。,ストレスチェック制度は、労働者の心理的負担の把握とは無関係である。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,衛生管理者は、職場巡視をしてはならない。,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,2,定期健康診断は継続的な健康管理の基本です。 したがって、正しいものは2です。
オリジナル,426,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、誤っているものはどれか。,作業内容を変更したときには、必要な安全衛生教育を行う。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,定期健康診断は、常時使用する労働者には一切実施してはならない。,5,定期健康診断は継続的な健康管理の基本です。 したがって、誤っているものは5です。
オリジナル,427,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、適切なものはどれか。,常時使用する労働者には、原則として定期健康診断を行う必要がある。,作業内容を変更したときは、教育を行わないことが義務である。,休憩時間は、どれだけ長時間労働しても一切与えてはならない。,妊産婦には、保護規定が一切存在せず、危険有害業務を必ず命じなければならない。,事業者には、労働者の安全と健康に配慮する責務は全くない。,1,定期健康診断は継続的な健康管理の基本です。 したがって、正しいものは1です。
オリジナル,428,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における定期健康診断に関する次の記述のうち、不適切なものはどれか。,労働基準法では、労働時間、休憩、休日などに関する規制が定められている。,一定の要件を満たす労働者には、年次有給休暇が付与される。,衛生管理体制は、事業場の規模や業種に応じて整備する必要がある。,定期健康診断は、常時使用する労働者には一切実施してはならない。,事業者は、健康診断の結果を労働者に通知する必要がある。,4,定期健康診断は継続的な健康管理の基本です。 したがって、誤っているものは4です。
オリジナル,429,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、正しいものはどれか。,安全衛生教育は、労働者を雇い入れたときには実施してはならない。,労働基準法には、労働時間や休憩に関する規制は存在しない。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,年次有給休暇は、労働者に一切付与してはならない制度である。,衛生管理体制は、事業場の規模や業種と全く関係なく常に不要である。,3,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、正しいものは3です。
オリジナル,430,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、誤っているものはどれか。,長時間労働者には、健康確保措置を一切講じてはならない。,衛生管理者は、職場を巡視し、設備や作業方法等を点検する職務を持つ。,使用者は、法令に基づき労働者に休日を与える必要がある。,常時一定数以上の労働者を使用する使用者は、就業規則の作成・届出が必要となる。,労働者も、事業者が講ずる安全衛生措置に協力することが求められる。,1,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、誤っているものは1です。
オリジナル,431,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、適切なものはどれか。,衛生管理者は、職場巡視をしてはならない。,長時間労働者には、要件に該当する場合、医師による面接指導が必要となる。,休日は、労働基準法上いかなる場合も与えてはならない。,就業規則は、労働者数にかかわらず作成が常に禁止される。,労働者は、安全衛生措置に協力してはならない。,2,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、正しいものは2です。
オリジナル,432,関係法令(有害業務に係るもの以外のもの),関係法令(有害業務に係るもの以外のもの)における長時間労働面接指導に関する次の記述のうち、不適切なものはどれか。,労働時間が一定時間を超える場合、使用者は休憩時間を与える必要がある。,妊産婦については、労働基準法等により就業制限や保護規定が設けられている。,事業者は、労働者の安全と健康を確保するよう必要な措置を講じる責務を負う。,健康診断で異常所見がある労働者について、必要に応じて医師等の意見を聴く。,長時間労働者には、健康確保措置を一切講じてはならない。,5,長時間労働による健康障害防止のため、面接指導等が定められています。 したがって、誤っているものは5です。
